InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536385,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8,1/5/2011 9:32,3.39,17850,United Kingdom
536385,84029E,RED WOOLLY HOTTIE WHITE HEART.,8,1/5/2011 9:32,3.39,17850,United Kingdom
536385,22752,SET 7 BABUSHKA NESTING BOXES,4,1/5/2011 9:32,7.65,17850,United Kingdom
536385,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,1/5/2011 9:32,4.25,17850,United Kingdom
536386,22114,HOT WATER BOTTLE TEA AND SYMPATHY,50,1/5/2011 9:32,3.45,15291,United Kingdom
536386,21733,RED HANGING HEART T-LIGHT HOLDER,66,1/5/2011 9:32,2.55,15291,United Kingdom
536387,22632,HAND WARMER RED POLKA DOT,8,1/5/2011 9:34,1.85,17850,United Kingdom
536387,22633,HAND WARMER UNION JACK,8,1/5/2011 9:34,1.85,17850,United Kingdom
536388,22386,JUMBO BAG PINK POLKADOT,12,1/5/2011 9:37,1.95,14688,United Kingdom
536388,85099C,JUMBO  BAG BAROQUE BLACK WHITE,12,1/5/2011 9:37,1.95,14688,United Kingdom
536388,21033,JUMBO BAG CHARLIE AND LOLA TOYS,12,1/5/2011 9:37,2.95,14688,United Kingdom
536388,20723,STRAWBERRY CHARLOTTE BAG,12,1/5/2011 9:37,0.85,14688,United Kingdom
536388,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,14,1/5/2011 9:37,3.75,14688,United Kingdom
536388,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,8,1/5/2011 9:37,3.75,14688,United Kingdom
536388,21094,SET/6 RED SPOTTY PAPER PLATES,14,1/5/2011 9:37,0.85,14688,United Kingdom
536388,20725,LUNCH BAG RED RETROSPOT,12,1/5/2011 9:37,1.65,14688,United Kingdom
536388,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,8,1/5/2011 9:37,2.55,14688,United Kingdom
536388,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,8,1/5/2011 9:37,2.55,14688,United Kingdom
536388,21212,PACK OF 72 RETROSPOT CAKE CASES,122,1/5/2011 9:37,0.42,14688,United Kingdom
536388,21975,PACK OF 60 DINOSAUR CAKE CASES,26,1/5/2011 9:37,0.55,14688,United Kingdom
536388,21977,PACK OF 60 PINK PAISLEY CAKE CASES,26,1/5/2011 9:37,0.55,14688,United Kingdom
536388,84991,60 TEATIME FAIRY CAKE CASES,26,1/5/2011 9:37,0.55,14688,United Kingdom
536388,84519A,TOMATO CHARLIE+LOLA COASTER SET,8,1/5/2011 9:37,2.95,14688,United Kingdom
536388,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,50,1/5/2011 9:37,1.25,14688,United Kingdom
536388,85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,98,1/5/2011 9:37,0.38,14688,United Kingdom
536388,21931,JUMBO STORAGE BAG SUKI,12,1/5/2011 9:37,1.95,14688,United Kingdom
536388,21929,JUMBO BAG PINK VINTAGE PAISLEY,12,1/5/2011 9:37,1.95,14688,United Kingdom
536390,22961,JAM MAKING SET PRINTED,26,1/5/2011 9:41,1.45,17809,United Kingdom
536391,22139,RETROSPOT TEA SET CERAMIC 11 PC ,25,1/5/2011 9:41,4.25,15311,United Kingdom
536391,84854,GIRLY PINK TOOL SET,7,1/5/2011 9:41,4.95,15311,United Kingdom
536391,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,12,1/5/2011 9:41,1.95,15311,United Kingdom
536391,82567,"AIRLINE LOUNGE,METAL SIGN",4,1/5/2011 9:41,2.1,15311,United Kingdom
536391,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,8,1/5/2011 9:41,1.25,15311,United Kingdom
536391,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,26,1/5/2011 9:41,1.25,15311,United Kingdom
536391,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,26,1/5/2011 9:41,1.25,15311,United Kingdom
536391,71270,PHOTO CLIP LINE,3,1/5/2011 9:41,1.25,15311,United Kingdom
536391,22262,FELT EGG COSY CHICKEN,3,1/5/2011 9:41,0.85,15311,United Kingdom
536391,22637,PIGGY BANK RETROSPOT ,3,1/5/2011 9:41,2.55,15311,United Kingdom
536391,21934,SKULL SHOULDER BAG,12,1/5/2011 9:41,1.65,15311,United Kingdom
536391,21169,YOU'RE CONFUSING ME METAL SIGN ,5,1/5/2011 9:41,1.69,15311,United Kingdom
536391,21166,COOK WITH WINE METAL SIGN ,3,1/5/2011 9:41,1.95,15311,United Kingdom
536391,21175,GIN + TONIC DIET METAL SIGN,4,1/5/2011 9:41,2.1,15311,United Kingdom
536391,37444A,YELLOW BREAKFAST CUP AND SAUCER,3,1/5/2011 9:41,2.95,15311,United Kingdom
536391,37444C,PINK BREAKFAST CUP AND SAUCER ,3,1/5/2011 9:41,2.95,15311,United Kingdom
536391,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6,1/5/2011 9:41,2.95,15311,United Kingdom
536391,22083,PAPER CHAIN KIT RETROSPOT,3,1/5/2011 9:41,2.95,15311,United Kingdom
536391,84971S,SMALL HEART FLOWERS HOOK ,8,1/5/2011 9:41,0.85,15311,United Kingdom
536391,71270,PHOTO CLIP LINE,5,1/5/2011 9:41,1.25,15311,United Kingdom
536391,47580,TEA TIME DES TEA COSY,4,1/5/2011 9:41,2.55,15311,United Kingdom
536391,22261,FELT EGG COSY WHITE RABBIT ,3,1/5/2011 9:41,0.85,15311,United Kingdom
536391,84832,ZINC WILLIE WINKIE  CANDLE STICK,3,1/5/2011 9:41,0.85,15311,United Kingdom
536391,22644,CERAMIC CHERRY CAKE MONEY BANK,3,1/5/2011 9:41,1.45,15311,United Kingdom
536391,21533,RETROSPOT LARGE MILK JUG,3,1/5/2011 9:41,4.95,15311,United Kingdom
536391,21557,SET OF 6 FUNKY BEAKERS,4,1/5/2011 9:41,2.95,15311,United Kingdom
536391,15056BL,EDWARDIAN PARASOL BLACK,4,1/5/2011 9:41,5.95,15311,United Kingdom
536391,15056N,EDWARDIAN PARASOL NATURAL,4,1/5/2011 9:41,5.95,15311,United Kingdom
536391,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,6,1/5/2011 9:41,1.45,15311,United Kingdom
536391,22176,BLUE OWL SOFT TOY,3,1/5/2011 9:41,2.95,15311,United Kingdom
536391,22438,BALLOON ART MAKE YOUR OWN FLOWERS,3,1/5/2011 9:41,1.95,15311,United Kingdom
536391,21731,RED TOADSTOOL LED NIGHT LIGHT,4,1/5/2011 9:41,1.65,15311,United Kingdom
